phosphopyruvate hydratase complex	GO:0000015
RAD6-UBR2 ubiquitin ligase complex	GO:1990305
RSP5-BUL ubiquitin ligase complex	GO:1990306
Mcs4 RR-MAPKKK complex	GO:1990315
ATG1/UKL1 kinase complex	GO:1990316
Gin4 complex	GO:1990317
collagen type XIX trimer	GO:1990318
collagen type XX trimer	GO:1990319
collagen type XXI trimer	GO:1990320
collagen type XXII trimer	GO:1990321
collagen type XXIII trimer	GO:1990322
collagen type XXIV trimer	GO:1990323
collagen type XXVI trimer	GO:1990324
collagen type XXVII trimer	GO:1990325
collagen type XXVIII trimer	GO:1990326
collagen type XXV trimer	GO:1990327
RNA polymerase II, RPB4-RPB7 subcomplex	GO:1990328
IscS-TusA complex	GO:1990329
IscS-IscU complex	GO:1990330
Hpa2 acetyltransferase complex	GO:1990331
Ire1 complex	GO:1990332
mitotic checkpoint complex, CDC20-MAD2 subcomplex	GO:1990333
Bfa1-Bub2 complex	GO:1990334
laminin-13 complex	GO:1990338
laminin-14 complex	GO:1990339
laminin-15 complex	GO:1990340
thrombospondin complex	GO:1990341
heterochromatin island	GO:1990342
heterochromatin domain	GO:1990343
MTREC complex	GO:1990345
BID-BCL-xl complex	GO:1990346
glucose transporter complex	GO:1990350
transporter complex	GO:1990351
BRE1 E3 ubiquitin ligase complex	GO:1990352
Fused-Smurf ubiquitin ligase complex	GO:1990353
activated SUMO-E1 ligase complex	GO:1990354
sumoylated E2 ligase complex	GO:1990356
terminal web	GO:1990357
xylanosome	GO:1990358
PKM2-SAICAR protein kinase complex	GO:1990360
PKM2 pyruvate kinase complex	GO:1990361
Kir2 inward rectifier potassium channel complex	GO:1990374
organomineral extracellular matrix	GO:1990377
upstream stimulatory factor complex	GO:1990378
meiotic spindle midzone	GO:1990385
CUE1-UBC7 ubiquitin-conjugating enzyme complex	GO:1990389
DNA repair complex	GO:1990391
EFF-1 complex	GO:1990392
3M complex	GO:1990393
Cus cation efflux complex	GO:1990398
CGRP receptor complex	GO:1990406
eyespot apparatus	GO:1990413
Pex17p-Pex14p docking complex	GO:1990415
subtelomeric heterochromatin	GO:1990421
RZZ complex	GO:1990423
ryanodine receptor complex	GO:1990425
stereocilia tip-link density	GO:1990427
peroxisomal importomer complex	GO:1990429
CSL-Notch-Mastermind transcription factor complex	GO:1990433
lower tip-link density	GO:1990434
upper tip-link density	GO:1990435
Parkin-FBXW7-Cul1 ubiquitin ligase complex	GO:1990452
nucleosome disassembly/reassembly complex	GO:1990453
L-type voltage-gated calcium channel complex	GO:1990454
PTEN phosphatase complex	GO:1990455
pexophagosome	GO:1990457
omegasome	GO:1990462
lateral cortical node	GO:1990463
NuA3a histone acetyltransferase complex	GO:1990467
NuA3b histone acetyltransferase complex	GO:1990468
Rhino-Deadlock-Cutoff Complex	GO:1990469
synaptic vesicle, readily releasable pool	GO:1990474
synaptic vesicle, recycling pool	GO:1990475
synaptic vesicle, resting pool	GO:1990476
NURS complex	GO:1990477
Clr6 histone deacetylase complex I''	GO:1990483
archaeal proton-transporting A-type ATPase complex	GO:1990490
mitotic spindle microtubule	GO:1990498
raps-insc complex	GO:1990499
eif4e-cup complex	GO:1990500
exon-exon junction subcomplex mago-y14	GO:1990501
dendritic lamellar body	GO:1990503
CKM complex	GO:1990508
PYM-mago-Y14 complex	GO:1990509
Cry-Per complex	GO:1990512
CLOCK-BMAL transcription complex	GO:1990513
separase-securin complex	GO:1990520
INA complex	GO:1990524
Ste12p-Dig1p-Dig2p complex	GO:1990526
Tec1p-Ste12p-Dig1p complex	GO:1990527
Rvs161p-Rvs167p complex	GO:1990528
glycosylphosphatidylinositol-mannosyltransferase I complex	GO:1990529
Cdc50p-Drs2p complex	GO:1990530
Lem3p-Dnf1p complex	GO:1990531
Dom34-Hbs1 complex	GO:1990533
mitotic spindle polar microtubule	GO:1990537
syndecan-syntenin-ALIX complex	GO:1990562
extracellular exosome complex	GO:1990563
HSP90-CDC37 chaperone complex	GO:1990565
I(KACh) inward rectifier potassium channel complex	GO:1990566
DPS complex	GO:1990567
TERT-RMRP complex	GO:1990572
meiotic spindle astral microtubule	GO:1990574
perinuclear endoplasmic reticulum membrane	GO:1990578
cardiac Troponin complex	GO:1990584
divisome complex	GO:1990586
FtsQBL complex	GO:1990587
FtsBL complex	GO:1990588
ATF4-CREB1 transcription factor complex	GO:1990589
ATF1-ATF4 transcription factor complex	GO:1990590
AIP1-IRE1 complex	GO:1990597
importin alpha-subunit nuclear import complex	GO:1990602
IRE1-TRAF2-ASK1 complex	GO:1990604
Sad1-Kms2 LINC complex	GO:1990612
Kelch-containing formin regulatory complex	GO:1990615
CHOP-ATF4 complex	GO:1990617
ANPR-A receptor complex	GO:1990620
Vps4-Vta1 complex	GO:1990621
CHOP-ATF3 complex	GO:1990622
Herring body	GO:1990623
phospholamban complex	GO:1990629
IRE1-RACK1-PP2A complex	GO:1990630
mutator focus	GO:1990633
proximal dendrite	GO:1990635
C/EBP complex	GO:1990647
iNOS-S100A8/A9 complex	GO:1990657
transnitrosylase complex	GO:1990658
calprotectin complex	GO:1990660
S100A8 complex	GO:1990661
S100A9 complex	GO:1990662
Nkx-2.5 complex	GO:1990664
AnxA2-p11 complex	GO:1990665
PCSK9-LDLR complex	GO:1990666
PCSK9-AnxA2 complex	GO:1990667
intrinsic component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane	GO:1990673
Golgi cis cisterna membrane	GO:1990674
Golgi medial cisterna membrane	GO:1990675
Golgi trans cisterna membrane	GO:1990676
mitochondrial inner membrane assembly complex	GO:1990677
CSF1-CSF1R complex	GO:1990682
protein-lipid-RNA complex	GO:1990684
HDL-containing protein-lipid-RNA complex	GO:1990685
LDL-containing protein-lipid-RNA complex	GO:1990686
intrinsic component of Golgi cis cisterna membrane	GO:1990693
intrinsic component of Golgi medial cisterna membrane	GO:1990694
intrinsic component of Golgi trans cisterna membrane	GO:1990695
USH2 complex	GO:1990696
integral component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane	GO:1990701
integral component of Golgi cis cisterna membrane	GO:1990702
integral component of Golgi medial cisterna membrane	GO:1990703
integral component of Golgi trans cisterna membrane	GO:1990704
MAD1 complex	GO:1990706
nuclear subtelomeric heterochromatin	GO:1990707
MutS complex	GO:1990710
Beta-catenin-ICAT complex	GO:1990711
HFE-transferrin receptor complex	GO:1990712
